waterbody,year,mon,gear,species,len,weight,sex,age,age_strux,lennote
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,229,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,206,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,193,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,183,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,188,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,183,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,185,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,157,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,178,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,168,NA,,NA,,Observed length
